,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
35637,28298405,Great room in Bushwick!,212071658,Brian,Brooklyn,Bushwick,40.69297,-73.90427,Private room,65,2,23,2019-05-05,2.35,5,339
34650,27488806,Aesthetically Designed Modern Private Room,206778021,Vanessa,Manhattan,Harlem,40.82221,-73.95606,Private room,150,2,24,2019-06-21,2.38,2,47
19332,15423623,Wonderful private room in Williamsburg,7157161,Patrick,Brooklyn,Williamsburg,40.71274,-73.94521,Private room,90,1,2,2016-10-23,0.06,1,341
16962,13492449,[TRUE 1br] Heart of the West Village,31489150,Kelly,Manhattan,West Village,40.7332,-74.0039,Entire home/apt,190,2,2,2016-09-17,0.05,1,0
40889,31801375,East Flatbush,238321827,Denise,Brooklyn,East Flatbush,40.65057,-73.92383,Private room,37,1,51,2019-06-28,9.56,1,341
975,391948,Single Room,1960128,Luana,Queens,Ozone Park,40.68581,-73.84642,Shared room,45,1,8,2015-09-30,0.11,2,364
45433,34745979,Sun-drenched Brooklyn town home large 3 bedroom,9450360,Rick,Brooklyn,Crown Heights,40.67772,-73.95564,Entire home/apt,278,2,7,2019-07-06,4.12,1,328
1013,411918,"3 BR apartment Crown Heights, BKLYN",2050338,Verena,Brooklyn,Crown Heights,40.66924,-73.94406,Entire home/apt,160,5,125,2019-07-02,1.47,3,169
18217,14276659,Greyhound Manor - twin bed with a share bath,87073939,Carol,Brooklyn,Bedford-Stuyvesant,40.68277,-73.92284,Private room,47,2,39,2019-06-27,1.12,2,51
28435,22067499,Live in Williamsburg - Only 2 stops from Manhattan,22758387,Roy,Brooklyn,Williamsburg,40.71816,-73.95031,Private room,47,1,32,2018-12-16,1.73,1,0
9692,7454585,Private Room in Shared Apartment,8670155,Jason,Manhattan,Kips Bay,40.74085,-73.98153,Private room,69,1,1,2015-09-02,0.02,1,0
30803,23852718,"Sunlit Williamsburg Apartment, Prime Location",6527776,Alex,Brooklyn,Williamsburg,40.71549,-73.95579,Entire home/apt,200,2,13,2019-05-05,1.01,1,3
31468,24493940,Private Bedroom with En Suite Bath on Central Park,1114587,Keenan & Emily,Manhattan,Upper West Side,40.79591,-73.96204,Private room,90,2,9,2019-06-12,0.62,3,181
39502,30768008,Upper West Manhattan Entire Suite,10415675,Yao & Rain,Manhattan,Harlem,40.82224,-73.95402,Entire home/apt,150,4,3,2019-05-08,0.47,7,281
8340,6410511,"Big space, great price, a home by Mnhn, best in BK",10136764,Michael,Brooklyn,Crown Heights,40.67766,-73.93934,Entire home/apt,119,4,91,2019-06-21,1.81,1,316
39851,30964729,"Shared apt by Theater District, Broadway",231216524,Chase,Manhattan,Hell's Kitchen,40.76546,-73.98712,Shared room,80,1,24,2019-06-19,3.58,5,46
35407,28085491,1 Bedroom in NYC's Lower East Side! | Chinatown,50250626,Greg,Manhattan,Lower East Side,40.71882,-73.98554,Entire home/apt,185,1,52,2019-07-04,5.2,1,162
35068,27804902,Brooklyn Flavor,23776693,Bev,Brooklyn,Bedford-Stuyvesant,40.68529,-73.92936,Private room,48,3,22,2019-07-03,3.13,3,94
41294,32160052,Full Floor Of A Luxe Brooklyn Townhouse W. Garden!,124506693,Beautiful Brooklyn,Brooklyn,Crown Heights,40.6751,-73.953,Private room,71,2,9,2019-07-01,3.38,1,223
24552,19744503,Private and Comfortable bedroom,138003310,Marta,Queens,Richmond Hill,40.70008,-73.83344,Private room,60,7,53,2019-06-28,2.24,1,335
8360,6425850,"Spacious, charming studio",32715865,Yelena,Manhattan,Upper West Side,40.79169,-73.97498,Entire home/apt,86,1,5,2017-09-23,0.13,1,0
13838,10452249,3 Bedroom 1.5 Bath Duplex,49167739,Carine,Manhattan,SoHo,40.72768,-74.00233,Entire home/apt,500,5,24,2019-04-14,0.58,2,321
29963,23070522,The Home away from home!!!!,60373268,Bless M,Brooklyn,Bedford-Stuyvesant,40.6849,-73.91811,Entire home/apt,140,3,30,2019-06-18,1.88,1,122
1439,645922,Gorgeous Modern Manhattan Apt,1740784,Gal,Manhattan,Midtown,40.74648,-73.98459,Private room,100,3,41,2015-09-25,0.52,1,0
28988,22310190,COZY&QUITE WITH PARK AROUND THE BLOCK BARS & SHOPS,163103487,Raquel,Manhattan,East Village,40.72515,-73.98422,Entire home/apt,199,7,13,2019-06-11,0.82,1,349
20288,16221732,"A Comfortable, Cozy  Room",4013000,Mei,Queens,Bayside,40.75465,-73.77361,Private room,30,15,31,2019-05-06,0.99,2,142
22693,18366609,"COZY, QUIET BEDROOM IN INWOOD, ""UPSTATE MANHATTAN""",127164761,Christopher,Manhattan,Inwood,40.86689,-73.92353,Private room,46,1,14,2018-07-02,0.55,1,0
6014,4402805,LRG 2br BKLYN APT CLOSE TO TRAINS AND PARK,22807362,Jenny,Brooklyn,Prospect-Lefferts Gardens,40.66025,-73.9627,Entire home/apt,120,3,3,2018-08-28,0.05,1,16
30665,23727037,Brooklyn's Best Kept Secret,127345864,Charlene,Brooklyn,East Flatbush,40.64174,-73.93193,Entire home/apt,135,2,26,2019-07-03,2.21,4,29
7206,5271661,Master Bedroom available with en suite bathroom.,6960329,Edna,Manhattan,Upper West Side,40.77484,-73.98659,Private room,130,2,2,2019-06-30,0.94,1,150
36463,28986804,Sunny Private Bedroom/Bath in Beautiful Brooklyn,71314515,Tessa,Brooklyn,Bedford-Stuyvesant,40.69303,-73.94183,Private room,80,1,15,2019-06-23,1.82,1,64
7081,5106749,Cozy 1BD near midtown Manhattan,26388856,Kat,Queens,Long Island City,40.7599,-73.9285,Entire home/apt,110,14,35,2019-05-24,0.69,1,177
5544,4033300,Sunny and comfortable 2 bedroom apt,2155917,Stephanie,Brooklyn,Bedford-Stuyvesant,40.68693,-73.95725,Entire home/apt,150,5,18,2019-06-26,2.57,3,254
27166,21474885,LAVISHING COMFORT  IN BROOKLYN BROWNSTONE NYC,2015914,Majar,Brooklyn,Bushwick,40.68818,-73.91519,Private room,75,3,2,2019-06-30,1.2,8,365
28873,22267217,City Living with a Home Town Feel.,105061915,Darlene,Manhattan,East Harlem,40.80279,-73.9445,Private room,43,1,13,2019-07-02,0.72,2,6
37093,29489893,Beautiful furnished private studio with backyard,222098649,Melissa,Queens,Jamaica,40.68547,-73.79063,Entire home/apt,20,1,111,2019-07-07,13.11,1,41
10249,7843851,Private room in artsy Brooklyn home,41332081,Stephanie,Brooklyn,Crown Heights,40.67689,-73.94884,Private room,85,3,8,2015-11-18,0.17,1,179
19368,15453848,Cozy Room in Crown Heights! (Female Guests Only),11304670,Katya,Brooklyn,Crown Heights,40.66469,-73.95125,Private room,29,5,3,2019-01-01,0.1,1,206
24865,19943797,"Family-Friendly, 2br, Tons of Light! Amazing find.",34738874,Elliott,Brooklyn,Crown Heights,40.67806,-73.94459,Entire home/apt,88,1,2,2017-08-18,0.08,1,0
6279,4587321,Bright 3 bdrm in East Village,23778946,Katie,Manhattan,East Village,40.72523,-73.97999,Entire home/apt,400,3,1,2015-01-02,0.02,1,0
11892,9256750,Sunny bedroom with backyard (L Jefferson),16865342,Elene,Brooklyn,Bushwick,40.70484,-73.91942,Private room,50,3,71,2019-05-27,1.85,2,2
1593,723709,Large room 2blks from central Park,297176,Bethania,Manhattan,Harlem,40.80351,-73.95648,Private room,95,10,6,2019-05-11,0.07,2,63
43011,33397908,Sunny apartment on L train in Bushwick/Ridgewood,30751157,Nick,Queens,Ridgewood,40.69945,-73.90771,Private room,89,3,4,2019-06-02,1.88,1,68
28540,22119373,Well lit and modern 1BR condo in LES,7112420,Lizzie,Manhattan,Chinatown,40.71629,-73.99066,Entire home/apt,175,2,10,2018-10-01,0.54,1,0
48083,36075404,Shared BR for Overnight Sleep,217595343,Jack,Manhattan,East Harlem,40.7982,-73.94422,Shared room,65,1,2,2019-06-30,2.0,2,170
31942,24933154,Super clean and bright cheerful apartment.,11095383,Victor,Brooklyn,Flatbush,40.63074,-73.95849,Entire home/apt,150,4,1,2018-07-18,0.08,1,20
3101,1839818,"1B in NYC - East Village, Manhattan",9615574,Gwen,Manhattan,Stuyvesant Town,40.73196,-73.97932,Entire home/apt,139,5,27,2017-07-21,0.48,1,0
33186,26191770,Modern New York City Penthouse w/ Incredible Views,149328348,Caitie,Manhattan,Financial District,40.70563,-74.01106,Entire home/apt,131,30,2,2019-05-31,0.23,1,0
11540,8975201,Great 2BR Apartment,46901221,Sandy,Brooklyn,Sheepshead Bay,40.59629,-73.96367,Entire home/apt,119,2,174,2019-06-30,3.88,2,65
10761,8276819,International Meeting Place_Room 3•,43371802,Sinaly,Brooklyn,Flatlands,40.62841,-73.92591,Private room,130,4,3,2019-05-19,0.07,5,364
21334,16987479,Sunny LEGO’s Home,57455831,Maggie,Brooklyn,Clinton Hill,40.69259,-73.9665,Entire home/apt,150,1,5,2019-03-31,0.19,2,0
30698,23753607,Bright & spacious room in Brooklyn sanctuary,131829860,Anna,Brooklyn,East Flatbush,40.63621,-73.94968,Private room,55,3,1,2018-03-18,0.06,1,0
16073,12989767,Beautiful Studio on Tree-Lined St.,16436459,Liz,Manhattan,Chelsea,40.74583,-74.00451,Entire home/apt,175,4,30,2019-07-01,0.82,1,48
3210,1914787,Your home away from home in Comfort,9509269,Carlos,Queens,Briarwood,40.71477,-73.82012,Private room,66,5,95,2019-05-25,1.39,2,301
7849,6004200,Cozy Harlem Experience,20109767,Jennifer,Manhattan,Harlem,40.82846,-73.94492,Private room,65,1,6,2015-06-18,0.12,1,341
10995,8496622,Studio in heart of NYC,29408645,Tara,Manhattan,Chinatown,40.71879,-73.99586,Entire home/apt,99,2,4,2019-07-01,0.09,1,18
34769,27566002,Modern living in old Harlem (the Scream1),2802223,Raluca,Manhattan,Harlem,40.82789,-73.93812,Private room,60,30,5,2018-10-13,0.47,2,0
30647,23712143,2e chambre pour 1 personne où couple,161081229,Ibrahim Maiga,Bronx,Morrisania,40.82434,-73.91377,Private room,40,2,80,2019-07-04,5.01,2,291
35687,28330508,East village sanctuary,2244813,Matthew,Manhattan,East Village,40.72778,-73.98747,Entire home/apt,250,31,1,2018-10-07,0.11,1,156
34047,26981567,Queens New York 2 bedroom apartment,22780462,Mark,Queens,Kew Gardens Hills,40.72048,-73.81458,Entire home/apt,139,4,6,2019-05-21,0.58,2,282
22706,18375246,Private Room in Clinton Hill,127250455,Laura,Brooklyn,Bedford-Stuyvesant,40.69234,-73.95993,Private room,54,2,8,2018-07-29,0.3,1,0
9654,7417444,Studio in Lincoln Sq - Columbus Cir,11239404,Sholeh,Manhattan,Upper West Side,40.77088,-73.98061,Entire home/apt,140,2,2,2015-12-01,0.04,1,0
15256,12210323,HUGE DUPLEX apartment with BACKYARD,65670239,Kelly,Brooklyn,East Flatbush,40.64062,-73.94733,Entire home/apt,215,2,44,2019-07-04,1.28,1,279
6552,4750486,Sun-drenched 1BD in Upper East Side,13631524,Hernan & Chelsea,Manhattan,East Harlem,40.79774,-73.93244,Private room,75,2,262,2019-06-09,4.73,1,166
26332,20982734,"Spacious, Modern Uptown Getaway with Balcony",5668108,Wakahiu,Manhattan,East Harlem,40.80012,-73.94549,Entire home/apt,250,4,7,2019-04-24,0.33,1,0
21453,17137626,"~UptownOasis~ Historic charm, HUGE room & privacy•",11167829,Dana  (& Justin),Manhattan,Harlem,40.82935,-73.94255,Private room,54,2,72,2019-06-30,2.54,3,63
31704,24718788,Studio with a view,11966882,Svetlana,Manhattan,Kips Bay,40.73807,-73.98091,Entire home/apt,119,4,2,2018-09-30,0.15,1,0
14135,10849750,Brownstone Beauty 1 Bedroom,185847,Faizal,Brooklyn,Fort Greene,40.68584,-73.97571,Entire home/apt,135,2,1,2016-08-15,0.03,1,0
40687,31565105,Massive Room in Bed-Stuy Clinton Hills,236596347,John,Brooklyn,Bedford-Stuyvesant,40.68226,-73.94493,Private room,69,2,1,2019-03-30,0.29,1,95
20707,16420915,"CLASSIC NEW YORK! Heart of UWS!
CLEAN. BRIGHT. NEW",27847787,Samuel,Manhattan,Upper West Side,40.78446,-73.97189,Entire home/apt,230,6,9,2019-01-02,0.37,1,0
17325,13679698,Private Bedroom close to Subway and Central Park,23088190,Florence,Manhattan,Morningside Heights,40.80364,-73.96541,Private room,69,3,1,2016-07-08,0.03,1,0
22314,18008937,Adorable Apt - Heart of West Village!,82933489,Karly,Manhattan,West Village,40.73272,-74.00356,Entire home/apt,230,2,9,2018-10-07,0.33,1,0
28760,22221072,Private cozy room in Bushwick / full-size bed,101970559,Sergii,Brooklyn,Bushwick,40.69295,-73.90851,Private room,50,30,4,2018-06-23,0.21,6,325
42015,32643370,Central Bushwick Private Bedroom,10113653,Jessica,Brooklyn,Bushwick,40.69504,-73.9264,Private room,45,2,5,2019-06-10,1.55,1,9
40158,31151736,The perfect NYC flat in the Meatpacking / Chelsea,43770857,Matthew,Manhattan,Chelsea,40.74393,-74.00444,Entire home/apt,190,3,2,2019-03-04,0.32,1,0
21847,17554298,The Sweet Pea Cottage,76840423,Kathleen,Staten Island,Huguenot,40.53871,-74.16966,Entire home/apt,180,1,136,2019-07-07,4.81,1,136
32638,25668516,Great cozy room near the center of NYC 12AR,190921808,John,Manhattan,Hell's Kitchen,40.75407,-73.99528,Private room,100,7,8,2019-06-09,0.64,47,271
10634,8173563,Cosy double bedroom in Brooklyn #1,27990825,Sophie,Brooklyn,Bushwick,40.70128,-73.92666,Private room,45,2,7,2016-01-02,0.15,2,0
18903,15016999,Crown Heights 1-Bedroom Near Parks and Museum,94782931,Joe,Brooklyn,Crown Heights,40.66692,-73.95205,Entire home/apt,105,1,7,2019-06-19,0.21,1,6
44215,34116575,"Sunny, Quiet, Green Studio near Central Park & MET",42144338,Jessie,Manhattan,Upper East Side,40.7786,-73.95028,Entire home/apt,120,6,2,2019-06-15,1.36,1,9
20767,16451907,Lg Park Slope apt with Washer/Dryer & Backyard,1223281,Annette,Brooklyn,Gowanus,40.66621,-73.99311,Entire home/apt,100,5,10,2018-12-28,0.41,1,0
39836,30958416,Sunny East Williamsburg Apartment,25612580,Josh,Brooklyn,Williamsburg,40.70721,-73.93843,Entire home/apt,105,2,14,2019-06-27,3.96,1,144
626,236788,"HUGE, modern 2-LEVEL Brooklyn apt",4166168,Nick And Noémie,Brooklyn,DUMBO,40.70257,-73.9847,Entire home/apt,350,5,40,2019-04-14,0.5,1,67
13568,10149393,Cozy Studio + Sunroom near Times Square,5461672,Ginji,Manhattan,Hell's Kitchen,40.76374,-73.98872,Entire home/apt,115,3,1,2016-01-03,0.02,1,0
46059,35056385,Cozy Brooklyn getaway,85946234,Dina,Brooklyn,Flatbush,40.64669,-73.95921,Private room,65,1,1,2019-06-02,0.79,1,80
17085,13548332,"Madison Ave 2 BR Penthouse, 3 Beds",61391963,Corporate Housing,Manhattan,Upper East Side,40.78531,-73.95683,Entire home/apt,150,30,2,2018-01-06,0.07,91,319
29846,22971913,.Melinda's Place,170265686,Arlene,Brooklyn,Crown Heights,40.66615,-73.95426,Entire home/apt,69,3,85,2019-06-18,5.0,1,193
8890,6809332,"Cozy, Warm Home in the West Village",198010,Shenaz,Manhattan,West Village,40.73728,-74.00773,Entire home/apt,95,5,4,2016-02-21,0.09,1,0
4662,3270428,Large East Village One Bedroom ,16536815,Daniel,Manhattan,East Village,40.72823,-73.9817,Entire home/apt,170,4,14,2017-10-23,0.23,1,0
39738,30925627,Sweet 2 BR sublet in Brooklyn,41191579,Maura,Brooklyn,Crown Heights,40.66856,-73.93937,Entire home/apt,88,30,1,2019-03-31,0.3,3,34
8174,6303109,COBBLE HILL SUMMER HAVEN,32778868,Jacqueline Mia,Brooklyn,Cobble Hill,40.68749,-73.99899,Entire home/apt,100,60,2,2017-05-25,0.04,1,0
28814,22246864,••Rare Find! Modern Room Near Subway & JFK••,161349813,Yola,Queens,Woodhaven,40.69003,-73.8678,Private room,35,3,14,2019-01-14,0.83,2,0
7854,6005910,3 BDR Apt-Just Minutes to Manhattan,23044811,Ettrick,Brooklyn,Bedford-Stuyvesant,40.68569,-73.94358,Entire home/apt,139,2,119,2019-06-09,2.31,2,175
44229,34120717,Sonder | Stock Exchange | Divine 1BR + Lounge,219517861,Sonder (NYC),Manhattan,Financial District,40.70736,-74.0125,Entire home/apt,217,2,4,2019-06-21,1.79,327,272
38252,30157285,"Newly renovated, cozy 1 br appt great location!!!",157687888,Maksim,Brooklyn,Bensonhurst,40.61072,-73.98533,Entire home/apt,90,2,53,2019-06-27,7.07,1,36
20387,16273143,Whole 2 bedrooms apartment in HK,85938655,Carlos,Manhattan,Hell's Kitchen,40.7625,-73.98802,Entire home/apt,250,3,31,2019-06-23,1.14,2,295
24663,19815527,Nolita Home,11654079,Deniz,Manhattan,Nolita,40.72361,-73.99467,Entire home/apt,300,7,14,2019-04-19,0.67,1,9
1574,714049,An Oasis in the Big Apple 3,3621183,Paul,Queens,Woodside,40.74687,-73.89892,Entire home/apt,120,3,55,2019-06-04,0.67,3,289
41187,32040396,Ditmas Park Apartment Share,9124906,Chris,Brooklyn,Flatbush,40.64004,-73.9664,Private room,40,1,1,2019-02-06,0.2,1,0
44207,34110599,The Green Place I,101790764,Zabi,Queens,Long Island City,40.74764,-73.9482,Entire home/apt,199,2,7,2019-06-22,3.28,2,170
619,234184,Spacious Stunning Harlem Townhouse,902054,William,Manhattan,Harlem,40.80903,-73.94197,Entire home/apt,325,5,89,2019-06-30,0.94,1,153
6872,4908634,Cozy Downtown Brooklyn Apartment,25273326,Dennis,Brooklyn,Fort Greene,40.68528,-73.97528,Entire home/apt,175,1,89,2019-04-28,1.77,1,0
34863,27637220,Best of Bk 20min to Manhtn & 5min to Williamsburg,55170899,Ana,Brooklyn,Greenpoint,40.72586,-73.94547,Entire home/apt,199,2,14,2019-05-28,1.28,1,250
45480,34783503,Uptown Experience on Central Park,262279497,Britt,Manhattan,East Harlem,40.79614,-73.94838,Entire home/apt,123,1,5,2019-06-17,3.95,1,327
28542,22119708,Cozy room in Brooklyn <3,3043896,Carmen,Brooklyn,Bedford-Stuyvesant,40.68611,-73.95171,Private room,41,7,1,2017-12-06,0.05,1,0
7225,5287733,Cozy Room,27379417,Dr.Sally,Queens,South Ozone Park,40.66788,-73.82419,Private room,85,1,243,2018-04-30,4.54,1,281
46638,35352999,"Bright, minimalist studio in charming Clinton Hill",1324150,Panthea,Brooklyn,Clinton Hill,40.6853,-73.96692,Entire home/apt,140,7,2,2019-06-29,2.0,1,29
1468,657217,Prime location near Central Park !!,3312204,Olga,Manhattan,Upper East Side,40.7779,-73.95246,Private room,79,1,347,2019-07-04,4.24,2,247
4481,3081771,Luxurious Brooklyn Getaway!,15681707,Joycelyn,Brooklyn,Crown Heights,40.67489,-73.91405,Entire home/apt,99,2,190,2019-07-01,3.67,3,287
24608,19786240,Venice Beach Meets Brooklyn  Stunning Townhouse,20063690,Naheima,Brooklyn,Bedford-Stuyvesant,40.68827,-73.94943,Entire home/apt,550,3,4,2018-09-03,0.22,2,97
18555,14646562,Velvet Retreat in the West Village,22218694,Lea,Manhattan,West Village,40.73455,-74.006,Entire home/apt,180,2,100,2019-07-01,2.9,2,344
48293,36182136,House by the beach side,234781729,Nikky,Queens,Edgemere,40.59309,-73.77958,Private room,65,1,2,2019-07-06,2.0,1,363
35225,27936288,Cute & Comfy 1 bedroom apt (Downtown NYC),211034625,Elle,Manhattan,Chinatown,40.71409,-73.99575,Entire home/apt,135,3,9,2019-04-19,0.87,1,68
32636,25665981,Bright and Airy 2 Bedroom Apt,151421618,Adesh & Viviana,Queens,Ozone Park,40.6831,-73.84438,Entire home/apt,110,4,6,2019-06-04,0.88,2,140
9894,7616651,Cute room in large apartment.,3663218,John Conor,Brooklyn,Williamsburg,40.71405,-73.94129,Private room,60,1,1,2015-08-18,0.02,2,0
21911,17618772,"Entire Huge 1 bd Apartment, Brooklyn Living",10015020,Jonathan,Brooklyn,Crown Heights,40.66391,-73.93551,Entire home/apt,88,4,66,2019-06-03,2.35,1,0
7394,5482918,Pleasant-Place JFK Private Housings Complex,26602392,Dean&Paula,Queens,Springfield Gardens,40.6631,-73.76749,Private room,73,1,148,2019-05-30,3.82,2,347
8959,6871600,Cozy room in Nolita/SoHo,4271676,Nat,Manhattan,Nolita,40.7214,-73.99635,Private room,100,1,18,2017-06-06,0.38,3,0
35324,28015516,Fanta Sea Home 3,131777975,Jewell,Brooklyn,Brownsville,40.66339,-73.91671,Private room,50,4,5,2019-06-10,0.52,3,365
26864,21298561,4 Bdrm Loft in East Williamsburg with Projector!,130667097,Paul,Brooklyn,Williamsburg,40.70529,-73.9331,Entire home/apt,300,1,1,2019-03-17,0.26,2,347
22420,18109852,"Sunny high-ceiling, large-windows, Bushwick apt",5168429,Chris,Brooklyn,Bushwick,40.69511,-73.90715,Private room,65,4,17,2019-01-12,0.66,1,11
29913,23026309,15 mins to Manhattan & LGA - Large Private Bedroom,16928139,Mehdi,Queens,Sunnyside,40.74208,-73.92414,Private room,50,2,51,2019-07-01,3.17,1,36
16068,12987298,Artist Apartment in Park Slope,21541169,Erica,Brooklyn,South Slope,40.6617,-73.98221,Private room,65,14,8,2016-09-07,0.21,1,0
23669,19138212,Super Sunny & Stylish Soho Loft,9374970,Barrett,Manhattan,SoHo,40.72486,-74.00318,Entire home/apt,250,28,11,2018-09-28,0.48,1,151
20988,16619241,"Cozy Studio Apartment in Queens, NY",25355233,Roseann,Queens,Springfield Gardens,40.68132,-73.75403,Private room,89,1,220,2019-06-28,7.23,1,319
36051,28644822,Home of the artists,162974717,Samantha,Brooklyn,Prospect-Lefferts Gardens,40.65787,-73.95927,Private room,60,1,15,2019-05-22,1.62,1,0
28607,22160759,Comfortable Private Bedroom 10 min to Central Park,93691661,Rachel,Manhattan,Washington Heights,40.83515,-73.94226,Private room,50,2,67,2019-06-15,3.54,2,20
46613,35345097,"Eclectic, one of a kind West Village apartment",266062621,Beckett,Manhattan,West Village,40.73006,-74.00713,Entire home/apt,250,1,1,2019-06-16,1.0,1,27
3564,2127767,Sun-drenched 2 Bedroom Penthouse,923915,Matthew,Manhattan,East Village,40.72476,-73.97643,Entire home/apt,250,4,34,2016-11-21,0.52,2,239
41965,32616255,"Cozy, Quiet Apt near Times Square and Penn Station",245206417,Mike,Manhattan,Hell's Kitchen,40.75616,-73.99408,Entire home/apt,132,10,9,2019-05-31,2.45,1,174
554,205485,Ideal Brooklyn Brownstone Apartment,1010242,Zora & Chris,Brooklyn,Bedford-Stuyvesant,40.68186,-73.94113,Entire home/apt,145,3,123,2019-06-11,1.29,1,287
29515,22656433,Luxury 2 Bedroom Apartment in Williamsburg,166879201,Yazmin,Brooklyn,Bedford-Stuyvesant,40.69305,-73.95599,Entire home/apt,169,2,95,2019-07-05,5.27,1,48
17814,13968722,Charming 1BR at Columbus Circle,10812002,Oliver,Manhattan,Hell's Kitchen,40.76686,-73.98393,Private room,105,2,3,2016-10-23,0.09,3,0
45615,34861069,Hideaway in Morning-side Heights,18682781,Dimitri,Manhattan,Harlem,40.82509,-73.9522,Private room,75,1,4,2019-06-30,2.55,1,90
34921,27689960,Cozy Room in a Brooklyn Apartment,4415812,Stephanie,Brooklyn,Flatbush,40.64011,-73.95773,Private room,45,4,24,2019-06-21,2.44,1,4
9130,6989436,Spanish Harlem with terrace.,36644635,Ingrid,Manhattan,East Harlem,40.79229,-73.94962,Private room,80,2,142,2018-12-16,3.05,1,0
11140,8623922,Red Hook Brooklyn Apartment,11796122,Candace,Brooklyn,Red Hook,40.67916,-74.00467,Entire home/apt,100,1,2,2015-10-05,0.04,1,0
1776,799484,E'33-EMPIRE STATE -PERFECT SPAC,1475015,Mike,Manhattan,Kips Bay,40.7449,-73.97656,Entire home/apt,116,30,5,2019-03-11,0.09,52,311
23114,18719602,Midtown Convenience and Modern Comfort,66051549,Jenny,Manhattan,Midtown,40.7523,-73.97287,Private room,105,4,1,2017-07-30,0.04,1,0
31498,24525290,Paradise in New York City,185265758,Shama,Manhattan,Harlem,40.82156,-73.94966,Entire home/apt,247,2,82,2019-07-06,5.68,2,266
33269,26272163,Gorgeous Bedroom steps from local stores!,197354631,Nina,Brooklyn,Williamsburg,40.71471,-73.94173,Private room,67,30,3,2019-05-31,0.28,3,19
36280,28864263,Large 2BED Midtown Full Kitchen and Free Breakfast,214347105,Roman,Manhattan,Midtown,40.75396,-73.96559,Entire home/apt,380,3,10,2019-06-14,1.12,8,225
12878,9809784,Lux Interior Designer Brookyln Flat,3976298,Sidra,Brooklyn,Prospect Heights,40.67815,-73.96823,Entire home/apt,995,5,1,2016-01-02,0.02,1,89
19485,15550900,Bright large Williamsburg 1 bed apartment,6521189,Paul,Brooklyn,Williamsburg,40.70953,-73.96445,Entire home/apt,190,5,18,2019-05-29,0.57,1,5
4829,3431816,APT IN PROSPECT/CROWN HEIGHTS ,4274268,Konstantino,Brooklyn,Crown Heights,40.67183,-73.95491,Entire home/apt,110,4,3,2016-01-03,0.05,1,0
40097,31122502,2 min walk to Times Square!!!,9730304,Baha,Manhattan,Hell's Kitchen,40.75982,-73.99066,Entire home/apt,205,4,1,2019-01-03,0.16,1,1
45305,34665010,Entire Newly Renovated 2 Bedroom Private Home,52577963,Mark,Queens,Woodhaven,40.69101,-73.8486,Entire home/apt,199,5,2,2019-06-29,1.2,6,338
34548,27393606,Bedstuy Living,4406629,Peter,Brooklyn,Bedford-Stuyvesant,40.69228,-73.94566,Private room,50,30,15,2018-10-03,1.36,1,179
